ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
655,463,581,203,a,2005,4,5,2005-04-05,gray,male,2,6,3,3,gray,brown,gray_brown,7,2,4,12,3,3,9,2,1,1,7.65,0.49
655,672,756,368,a,2008,5,1,2008-04-01,gray,male,2,6,3,3,gray,brown,gray_brown,6,3,3,12,3,3,9,3,0,0,8.26,0.47
659,628,662,331,a,2005,4,17,2005-04-17,brown,male,2,12,3,3,gray,brown,gray_brown,6,3,3,13,4,4,9,3,1,1,9.2,0.43
670,722,676,406,a,2006,3,-9,2006-03-22,gray,female,3,8,1,5,gray,gray,gray_gray,8,1,5,8,1,5,8,1,14.76,17,4.86,0.5
686,640,697,345,a,2008,4,-14,2008-03-17,gray,male,2,6,3,3,gray,gray,gray_gray,7,2,4,6,3,3,6,2,4,9,5.61,0.53
698,667,808,367,c,2012,5,0,2012-03-31,gray,male,3,8,1,5,brown,brown,brown_brown,13,4,4,13,4,4,13,4,20.88,16,7.06,0.52
701,614,717,325,b,2005,3,0,2005-03-31,gray,female,3,4,5,1,gray,gray,gray_gray,4,5,1,5,4,2,4,4,3,4,6.94,0.51
701,614,718,325,a,2005,3,0,2005-03-31,gray,female,2,6,3,3,gray,gray,gray_gray,4,5,1,5,4,2,4,4,3,4,6.94,0.51
702,602,723,308,b,2007,2,-2,2007-03-29,gray,male,2,4,5,1,gray,gray,gray_gray,4,5,1,6,3,3,5,4,0,0,7.04,0.53
709,708,726,394,a,2005,2,13,2005-04-13,gray,female,4,7,2,4,gray,gray,gray_gray,7,2,4,7,2,4,7,2,1,1,8.67,0.43
713,656,680,356,a,2007,2,8,2007-04-08,gray,female,3,6,3,3,brown,gray,brown_gray,12,3,3,7,2,4,9,2,0,0,9.16,0.52
748,766,754,437,b,2014,2,12,2014-04-12,brown,male,3,13,4,4,gray,brown,gray_brown,6,3,3,13,4,4,9,3,0,0,10.71,0.53
748,766,755,437,c,2014,2,12,2014-04-12,brown,female,3,10,1,1,gray,brown,gray_brown,6,3,3,13,4,4,9,3,0,0,10.71,0.53
762,781,806,448,b,2011,2,-6,2011-03-25,brown,male,3,12,3,3,brown,brown,brown_brown,12,3,3,12,3,3,12,3,42.91,22,6.38,0.45
783,780,752,447,c,2014,4,-17,2014-03-14,gray,female,2,5,4,2,brown,brown,brown_brown,12,3,3,12,3,3,12,3,6.14,7,4.06,0.41
783,860,869,493,c,2016,4,-22,2016-03-09,gray,female,4,4,5,1,brown,brown,brown_brown,12,3,3,12,3,3,12,3,13.57,21,3.62,0.47
783,860,902,493,c,2020,4,-19,2020-03-12,brown,female,3,13,4,4,brown,brown,brown_brown,12,3,3,12,3,3,12,3,3.33,3,3.98,0.49
804,759,268350,432,"",2013,3,11,2013-04-11,"","",,,,,gray,brown,gray_brown,5,4,2,11,2,2,8,3,27.78,9,11.25,0.56
808,749,829,422,c,2014,4,-8,2014-03-23,brown,female,3,13,4,4,brown,gray,brown_gray,13,4,4,8,1,5,10,2,0,0,5.86,0.62
810,268341,751,464,c,2014,2,-17,2014-03-14,gray,female,3,7,2,4,"",gray,NA_gray,,,,8,1,5,,,6.14,7,4.06,0.41
810,268341,812,464,c,2013,1,11,2013-04-11,brown,female,3,12,3,3,"",gray,NA_gray,,,,8,1,5,,,27.78,9,11.25,0.56
811,809,753,462,c,2014,5,-16,2014-03-15,brown,male,2,13,4,4,gray,brown,gray_brown,8,1,5,11,2,2,9,1,6.14,7,4.14,0.41
832,752,841,429,c,2015,2,-12,2015-03-19,gray,male,4,5,4,2,gray,gray,gray_gray,5,4,2,5,4,2,5,4,3,3,5.04,0.38
838,812,842,465,c,2015,3,-8,2015-03-23,gray,female,2,8,1,5,brown,gray,brown_gray,12,3,3,7,2,4,9,2,3,3,5.58,0.44
849,848,859,486,b,2016,3,-16,2016-03-15,gray,female,2,4,5,1,gray,gray,gray_gray,4,5,1,4,5,1,4,5,11.67,15,5.29,0.53
862,755,873,430,c,2016,4,-16,2016-03-15,gray,female,3,5,4,2,brown,gray,brown_gray,10,1,1,4,5,1,7,3,11.67,15,5.29,0.53
871,864,872,496,c,2016,4,-17,2016-03-14,gray,male,3,8,1,5,brown,gray,brown_gray,13,4,4,6,3,3,9,3,12,16,5,0.52
883,881,916,506,c,2017,4,-16,2017-03-15,gray,male,3,7,2,4,gray,gray,gray_gray,5,4,2,6,3,3,5,3,2.85,13,2.89,0.57
892,891,894,517,b,2018,2,6,2018-04-06,gray,female,3,4,5,1,gray,gray,gray_gray,4,5,1,4,5,1,4,5,11.29,7,11.25,0.51
934,933,942,544,b,2020,4,-14,2020-03-17,gray,male,1,4,5,1,gray,gray,gray_gray,4,5,1,5,4,2,4,4,3.33,3,4.53,0.49
